area_pix,aspect_ratio,mean_yfp,mean_mch,position,strain,atc_ngml,xan_mgml,promoter
266.0,0.18388933162095203,110.74436090225564,379.57894736842104,4.0,dilution,0.0,0.0,wt
454.0,0.31356920565875773,107.94273127753304,359.3612334801762,4.0,dilution,0.0,0.0,wt
415.0,0.3589745927543331,108.53012048192771,390.4578313253012,4.0,dilution,0.0,0.0,wt
380.0,0.32767035180601023,108.84736842105264,389.79473684210524,4.0,dilution,0.0,0.0,wt
375.0,0.3057147323038421,109.496,393.408,4.0,dilution,0.0,0.0,wt
422.0,0.27742062902010023,109.27014218009478,382.1255924170616,4.0,dilution,0.0,0.0,wt
384.0,0.25239943533755005,109.796875,379.2942708333333,4.0,dilution,0.0,0.0,wt
745.0,0.21340056332978144,107.38523489932886,362.99328859060404,4.0,dilution,0.0,0.0,wt
782.0,0.19076918188062414,107.45907928388746,375.4744245524297,4.0,dilution,0.0,0.0,wt
699.0,0.24836890233005815,107.12589413447783,390.7038626609442,4.0,dilution,0.0,0.0,wt
745.0,0.2002125636204883,107.75973154362416,388.848322147651,4.0,dilution,0.0,0.0,wt
845.0,0.21978845138062061,108.69467455621302,400.7467455621302,4.0,dilution,0.0,0.0,wt
639.0,0.2541405038762948,107.17996870109546,390.7057902973396,4.0,dilution,0.0,0.0,wt
503.0,0.2377102335561953,107.11133200795229,359.79324055666007,4.0,dilution,0.0,0.0,wt
532.0,0.22889763027158347,107.22932330827068,368.0808270676692,4.0,dilution,0.0,0.0,wt
520.0,0.29478328251110475,110.02307692307693,361.2576923076923,4.0,dilution,0.0,0.0,wt
818.0,0.1768268134177539,108.26894865525672,377.45232273838633,4.0,dilution,0.0,0.0,wt
528.0,0.3298538774284262,107.32386363636364,397.0814393939394,4.0,dilution,0.0,0.0,wt
763.0,0.23490079684447399,112.55176933158585,395.2057667103539,4.0,dilution,0.0,0.0,wt
626.0,0.24040237400307746,108.12140575079871,386.8849840255591,4.0,dilution,0.0,0.0,wt
511.0,0.3357029018843657,111.54207436399217,394.12720156555775,4.0,dilution,0.0,0.0,wt
671.0,0.30368043781446014,108.02235469448584,400.55737704918033,4.0,dilution,0.0,0.0,wt
731.0,0.2028318990201506,109.56361149110808,393.06019151846783,4.0,dilution,0.0,0.0,wt
578.0,0.2984638182362018,109.77854671280276,390.6020761245675,4.0,dilution,0.0,0.0,wt
480.0,0.36306455707644425,108.42916666666666,406.6041666666667,4.0,dilution,0.0,0.0,wt
814.0,0.186700925537139,109.5,365.84889434889436,4.0,dilution,0.0,0.0,wt
661.0,0.20311769018692025,111.15128593040848,406.5945537065053,4.0,dilution,0.0,0.0,wt
450.0,0.3109333883535712,119.08444444444444,432.87111111111113,4.0,dilution,0.0,0.0,wt
626.0,0.1740044066365062,108.81948881789137,409.0063897763578,4.0,dilution,0.0,0.0,wt
731.0,0.2173077599090911,109.22708618331053,359.6155950752394,4.0,dilution,0.0,0.0,wt
670.0,0.23817670378750158,107.69402985074628,403.64925373134326,4.0,dilution,0.0,0.0,wt
763.0,0.20439735552177185,108.4089121887287,403.41415465268676,4.0,dilution,0.0,0.0,wt
633.0,0.2636277814544085,108.05687203791469,411.64139020537124,4.0,dilution,0.0,0.0,wt
629.0,0.25152287578217986,108.46263910969793,373.4531001589825,4.0,dilution,0.0,0.0,wt
525.0,0.2971626101576249,108.12190476190476,411.46285714285716,4.0,dilution,0.0,0.0,wt
557.0,0.26325995925983375,109.83662477558349,411.6499102333932,4.0,dilution,0.0,0.0,wt
595.0,0.22879519954321664,109.290756302521,416.74957983193275,4.0,dilution,0.0,0.0,wt
815.0,0.18093254391566324,108.17546012269939,393.9840490797546,4.0,dilution,0.0,0.0,wt
479.0,0.3692657714517215,108.98538622129436,438.6471816283925,4.0,dilution,0.0,0.0,wt
622.0,0.2484770790340494,107.9967845659164,405.9244372990354,4.0,dilution,0.0,0.0,wt
618.0,0.2543157806915023,107.5,373.99676375404533,4.0,dilution,0.0,0.0,wt
654.0,0.22427762823731015,107.75229357798165,381.1391437308869,4.0,dilution,0.0,0.0,wt
357.0,0.3964445091901224,108.37535014005603,426.93277310924367,4.0,dilution,0.0,0.0,wt
641.0,0.24608463597001679,108.92355694227768,413.7519500780031,4.0,dilution,0.0,0.0,wt
519.0,0.24532133475846643,108.55491329479769,372.597302504817,4.0,dilution,0.0,0.0,wt
613.0,0.1954344178457321,109.163132137031,378.1566068515498,4.0,dilution,0.0,0.0,wt
419.0,0.3225163838788944,107.79474940334129,410.4057279236277,4.0,dilution,0.0,0.0,wt
532.0,0.21280143647556407,107.84586466165413,397.5545112781955,4.0,dilution,0.0,0.0,wt
667.0,0.22844758636321535,107.81409295352324,408.2008995502249,4.0,dilution,0.0,0.0,wt
868.0,0.17705044114698118,108.41359447004608,383.3410138248848,4.0,dilution,0.0,0.0,wt
607.0,0.24280136555410306,109.70510708401977,440.6490939044481,4.0,dilution,0.0,0.0,wt
718.0,0.22902412116410667,108.974930362117,401.49860724233986,4.0,dilution,0.0,0.0,wt
617.0,0.2677242548867976,112.55591572123177,427.68881685575366,4.0,dilution,0.0,0.0,wt
755.0,0.20218823359641652,109.47152317880794,376.61986754966887,4.0,dilution,0.0,0.0,wt
663.0,0.21131292568708535,113.18853695324283,405.74962292609354,4.0,dilution,0.0,0.0,wt
656.0,0.28449811483998383,108.6844512195122,423.1737804878049,4.0,dilution,0.0,0.0,wt
730.0,0.2094325534628259,107.92602739726027,402.6849315068493,4.0,dilution,0.0,0.0,wt
943.0,0.16320267394255078,109.28950159066808,415.87698833510075,4.0,dilution,0.0,0.0,wt
615.0,0.1959970468766476,110.28943089430895,431.6178861788618,4.0,dilution,0.0,0.0,wt
503.0,0.24812675236705597,109.53876739562624,422.544731610338,4.0,dilution,0.0,0.0,wt
598.0,0.19068732273434855,114.55351170568562,418.2006688963211,4.0,dilution,0.0,0.0,wt
463.0,0.26075763497652577,109.44060475161987,407.05615550755937,4.0,dilution,0.0,0.0,wt
622.0,0.23875245430793404,108.38745980707395,416.927652733119,4.0,dilution,0.0,0.0,wt
832.0,0.20294942012263545,107.9951923076923,413.2692307692308,4.0,dilution,0.0,0.0,wt
593.0,0.2923871211226751,107.89881956155143,401.77571669477237,4.0,dilution,0.0,0.0,wt
813.0,0.17033934892461,108.84993849938499,414.3308733087331,4.0,dilution,0.0,0.0,wt
652.0,0.22340721831306518,110.25153374233129,426.44171779141107,4.0,dilution,0.0,0.0,wt
577.0,0.23053878126631627,107.13344887348353,389.04159445407277,4.0,dilution,0.0,0.0,wt
673.0,0.22227576087615242,107.94205052005944,399.7637444279346,4.0,dilution,0.0,0.0,wt
567.0,0.2677127764409721,112.53968253968254,391.76719576719574,4.0,dilution,0.0,0.0,wt
735.0,0.19762996149850426,109.24353741496599,422.4544217687075,4.0,dilution,0.0,0.0,wt
412.0,0.35649504070150706,107.49757281553399,419.4611650485437,4.0,dilution,0.0,0.0,wt
401.0,0.32741852081974354,108.3067331670823,403.96758104738154,4.0,dilution,0.0,0.0,wt
673.0,0.2306962176761721,108.39078751857355,408.44725111441306,4.0,dilution,0.0,0.0,wt
447.0,0.32594203689156726,108.46085011185683,404.6532438478747,4.0,dilution,0.0,0.0,wt
709.0,0.21075705183610235,107.61495063469675,415.1734837799718,4.0,dilution,0.0,0.0,wt
716.0,0.2648435794666248,108.89245810055866,450.0125698324022,4.0,dilution,0.0,0.0,wt
786.0,0.19184155955578358,109.11832061068702,411.7251908396947,4.0,dilution,0.0,0.0,wt
612.0,0.23521269338546155,108.55882352941177,390.8267973856209,4.0,dilution,0.0,0.0,wt
784.0,0.14713806793140619,109.69132653061224,383.2551020408163,4.0,dilution,0.0,0.0,wt
322.0,0.33442270254655854,108.59006211180125,370.95652173913044,4.0,dilution,0.0,0.0,wt
349.0,0.30097058612426114,110.19770773638969,476.4412607449857,4.0,dilution,0.0,0.0,wt
357.0,0.2912764216716632,109.0280112044818,373.98319327731093,4.0,dilution,0.0,0.0,wt
338.0,0.3293366018525352,107.60650887573965,445.43195266272187,4.0,dilution,0.0,0.0,wt
671.0,0.24785818970288936,108.4053651266766,451.5782414307005,4.0,dilution,0.0,0.0,wt
451.0,0.3117304010853261,108.85365853658537,462.87139689578714,4.0,dilution,0.0,0.0,wt
318.0,0.2596007581570322,108.29874213836477,374.27358490566036,4.0,dilution,0.0,0.0,wt
282.0,0.31298668818210745,108.62056737588652,372.3333333333333,4.0,dilution,0.0,0.0,wt
551.0,0.16954015745687853,108.56624319419238,376.8421052631579,4.0,dilution,0.0,0.0,wt
307.0,0.3411106536268466,108.23452768729642,362.9478827361564,4.0,dilution,0.0,0.0,wt
404.0,0.27896268717317857,107.87376237623762,358.740099009901,4.0,dilution,0.0,0.0,wt
414.0,0.29938041899265616,110.16183574879227,404.1811594202899,4.0,dilution,0.0,0.0,wt
411.0,0.26952657058283086,111.24574209245742,403.3795620437956,4.0,dilution,0.0,0.0,wt
710.0,0.36656777064580714,113.13098591549296,414.97042253521124,4.0,dilution,0.0,0.0,wt
292.0,0.3229452639798546,115.66095890410959,399.05479452054794,4.0,dilution,0.0,0.0,wt
706.0,0.20977528192059983,108.52124645892351,408.0382436260623,4.0,dilution,0.0,0.0,wt
600.0,0.24959212166054753,107.85,436.13166666666666,4.0,dilution,0.0,0.0,wt
668.0,0.2128212584233738,110.16916167664671,367.1122754491018,4.0,dilution,0.0,0.0,wt
535.0,0.2525131562212853,109.14018691588785,391.33644859813086,4.0,dilution,0.0,0.0,wt
484.0,0.3509554073642231,108.25619834710744,385.0805785123967,4.0,dilution,0.0,0.0,wt
589.0,0.226228870479034,107.5314091680815,401.0848896434635,4.0,dilution,0.0,0.0,wt
816.0,0.20543782186208567,108.9093137254902,384.1813725490196,4.0,dilution,0.0,0.0,wt
599.0,0.19788954292694375,114.68614357262103,406.23038397328884,4.0,dilution,0.0,0.0,wt
534.0,0.21303420828542358,110.87827715355806,414.61610486891385,4.0,dilution,0.0,0.0,wt
832.0,0.1797246332115214,108.6358173076923,405.24399038461536,4.0,dilution,0.0,0.0,wt
545.0,0.20131513379587485,113.79266055045872,417.41284403669727,4.0,dilution,0.0,0.0,wt
803.0,0.20216278412968688,112.59900373599004,383.8493150684931,4.0,dilution,0.0,0.0,wt
669.0,0.2473962564618983,110.37070254110613,410.82959641255604,4.0,dilution,0.0,0.0,wt
733.0,0.14535911377657446,113.16234652114598,411.2442019099591,4.0,dilution,0.0,0.0,wt
584.0,0.19301005110688718,107.29280821917808,359.53767123287673,4.0,dilution,0.0,0.0,wt
458.0,0.271271435009202,109.15502183406113,452.4650655021834,4.0,dilution,0.0,0.0,wt
657.0,0.18175731278648263,108.1324200913242,371.36377473363774,4.0,dilution,0.0,0.0,wt
625.0,0.2310004441926194,113.4,389.2944,4.0,dilution,0.0,0.0,wt
540.0,0.278554081191,113.97592592592592,394.5351851851852,4.0,dilution,0.0,0.0,wt
627.0,0.27204956156316573,108.35406698564593,378.7304625199362,4.0,dilution,0.0,0.0,wt
382.0,0.25088425931118286,112.7696335078534,379.7041884816754,4.0,dilution,0.0,0.0,wt
