,date,promoter,strain,atc_ngml,xan_mgml,mean_FITC,fold_change
0,20190131,28yfp,dilution,10.0,3.0,39096.64681995731,0.9182283976128321
1,20190131,28yfp,dilution,10.0,6.0,25372.54240146738,0.5959024839125187
2,20190131,28yfp,dilution,10.0,0.5,33244.992327492546,0.7807957591376302
3,20190131,28yfp,auto,10.0,0.0,24587.528620457735,0.577465558885165
4,20190131,28yfp,dilution,10.0,1.0,49561.21203729508,1.1640003942620716
5,20190131,28yfp,dilution,10.0,4.0,23505.297352848414,0.5520481493748398
6,20190131,28yfp,dilution,10.0,7.0,43073.229828848875,1.0116228889881134
7,20190131,28yfp,delta,10.0,0.0,42578.346434938154,1.0
8,20190131,28yfp,dilution,10.0,2.0,23102.99915125011,0.5425997269892257
9,20190131,28yfp,dilution,10.0,0.1,22907.362154456878,0.538004973712647
10,20190131,28yfp,dilution,10.0,5.0,38587.075261120386,0.9062605406737289
11,20190131,28yfp,dilution,10.0,8.0,33809.78259218486,0.7940604890292746
12,20190131,28yfp,dilution,10.0,10.0,43088.83234264367,1.0119893314430508
13,20190131,28yfp,dilution,10.0,0.0,38147.77653152945,0.8959431195812446
