Unnamed: 0,HDR-T,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,FITC-A,FITC-H,FITC-W,gate
0,26.50245300000001,11218.955,9539.068000000001,154154.56,25606.373,25191.652000000002,133229.8,261.41443,606.6096,56484.617,1
1,27.231527000000003,6520.9287,5397.5,158353.16,23547.06,17195.564,179485.84,520.3389,517.5321,131782.86,1
2,36.52271,11617.697,8932.625,170471.14,53070.42,41074.473,169352.05,1009.9964,838.9200400000003,157800.8,0
3,46.53027700000001,5898.7676,6009.3027,128661.06,15454.16,14198.095,142667.58,359.18277,736.72406,63902.9,0
4,55.49863000000001,5912.5854,6900.064,112314.086,13682.426000000001,14279.065,125595.26,-195.43166000000002,192.07043000000002,-133365.75,0
5,87.23701,6804.357,7442.903,119826.99,26228.174,23124.049,148666.84,69.99965999999999,265.6137,34542.625,0
6,93.62459,10182.789,7645.874,174561.94,36830.73,33646.406,143476.77,374.65125,534.8086,91820.305,0
7,96.051216,17875.613,13049.581,179545.4,34725.207,31321.433999999997,145315.9,148.40266,212.09421,91711.29,0
8,100.724915,5902.0825,5573.682,138794.73,18114.992,18660.088,127243.14,327.8432,334.2875,128545.23,1
9,103.18600500000001,5881.8433,5555.8867,138761.83,7682.5786,7313.366,137689.12,-88.97316,110.54983500000002,-105489.89,0
10,105.61806499999999,7051.3359999999975,5451.964,169522.89,20659.807,16967.53,159594.38,-96.23558,252.27053999999998,-50001.043,1
11,129.1371,5771.9546,5634.594,134267.28,17915.988,17300.371,135736.08,190.06044,476.89944,52236.59400000001,0
12,129.53973,7644.7607,7378.5390000000025,135801.16,26139.045,24768.13,138326.83,43.30396,449.15195,12637.008,1
13,134.60881,9710.734,6498.7617,195853.52,31178.193,23288.637000000002,175475.62,605.1049,726.3233,109196.984,1
14,134.65233,8542.708,7417.8315,150948.4,17647.933999999994,20706.468999999997,111711.46,402.26315,494.66357,106588.48,1
15,158.26023999999995,5039.7170000000015,5516.4116,119745.555,23919.459,25206.362999999998,124380.16,546.9899,391.337,183205.42,0
16,164.21618999999995,7054.9,5931.8604,155886.98,15417.84,15038.666000000001,134376.75,-221.12892000000002,261.88547,-110673.61,1
17,178.78136999999995,13022.229,9793.391,174285.86,30324.955,27924.35200000001,142340.02,482.9502,449.56515999999993,140805.5,0
18,188.02177,21225.111,15742.518,176720.0,30708.632999999998,28811.04,139704.84,611.3100599999998,861.51935,93005.03,0
19,202.2043,10126.19,8093.456999999998,163991.73,15738.353000000001,16732.23,123286.45,646.5027,819.04266,103460.3,0
20,205.26932,3637.96,5548.7495,85935.52,13571.582,11769.999,151134.62,367.0778,516.4807,93156.664,0
21,223.6141,8241.546,6431.9404,167948.69,24892.666,23628.362999999998,138085.38,88.7065,243.16866000000002,47814.297,1
22,227.14702999999997,6133.3804,5598.3496,143598.47,17404.764,19326.336,118039.82,296.31363,776.25977,50032.76,1
23,229.22182,7900.6025,6718.153,154141.73,23929.29,23237.922000000002,134971.61,533.69635,339.7129,205916.97,1
24,231.01369,9454.578000000001,7515.995,164879.1,21088.272999999997,21747.062,127101.41,436.04193,409.8191,139458.83,1
25,266.52258,14462.65,11237.653,168687.22,39120.875,35677.34,143722.92,361.62903,454.042,104394.4,0
26,270.5452,13521.731000000002,10704.999,165560.06,25453.879,23307.062,143145.06,520.2199,583.4258,116872.22,0
27,271.57895,7690.8384,6310.811,159734.39,17274.293,18681.227,121200.62,716.96094,594.7835,157996.16,1
28,308.13974,8085.8545,6427.7609999999995,164883.1,25731.322,20517.895,164376.31,-65.11617,440.22625999999997,-19387.547,1
29,388.39975,7024.3125,6032.384,152624.69,14822.581,14182.124,136991.14,440.2752,1014.5537,56879.937999999995,1
30,395.3586,10147.266,6439.7617,206532.86,24521.308999999997,24272.365,132416.31,415.00354,731.99445,74311.14,1
31,397.47873,14310.382,10346.589,181285.88,27691.91,24513.654,148065.81,493.4368,578.7461,111751.51,0
32,406.82434,5831.1724,6318.7676,120957.67,16754.093999999994,15684.458999999999,140010.73,-154.10777,361.6806,-55848.21,0
33,435.19665999999995,11054.371000000001,8071.2207,179516.66,18127.943,17602.477,134984.75,262.02765,421.65805,81451.05,0
34,446.87274,5429.349,5728.596,124225.14,14613.07,16710.613,114619.63,347.98047,443.82062,102767.86,0
35,449.6149,7347.6235,6506.4062,148018.38,24863.305,21096.222999999998,154477.1,563.67267,549.41895,134472.44,1
36,451.73868,13657.159,10051.46,178090.66,10226.116,9535.528,140564.58,-84.36962,516.4287,-21413.4,0
37,454.8962,5461.281,6371.404,112349.02,28507.85,26088.129,143229.16,140.75898999999995,301.0275,61288.63,0
38,470.23217999999997,11636.498,8638.823,176554.03,23107.041,19231.137,157488.67,166.8011,212.25858,103001.51,1
39,474.4942,9032.273000000001,6830.599,173319.81,9265.331,9062.628,134003.67,663.0135,481.76773,180382.58,0
40,500.0699,6716.121,6524.7609999999995,134916.11,2844.6606,3691.8293,100994.74,152.8725,335.91528,59649.875,0
41,503.4269,7149.395,5560.967,168511.25,11827.127,11623.148000000001,133372.22,325.51743,381.481,111843.63,0
42,520.61816,18696.55,13660.962,179386.66,11630.09,10463.439,145686.23,201.61702,536.0545,49297.87,0
43,520.7289,91567.22,62265.17,192754.61,9770.903,6455.788000000001,198378.86,467.7797,333.6589,183758.98,0
44,533.8268400000002,10744.258,6065.4805,232178.03,33923.28,18851.104,235869.08,367.56894,486.50568,99028.64,0
45,534.2076400000002,13566.2705,10267.442,173184.14,33382.97,30089.43,145418.92,278.00436,447.30194000000006,81463.07,0
46,541.0414,10076.056,7655.4519999999975,172516.11,27997.135,21835.068,168061.78,500.95837,728.34375,90151.96,1
47,550.2219,22464.875,15514.78,189787.81,43135.848,28746.382999999998,196682.2,75.40790600000003,343.8885,28741.482000000004,0
48,576.54126,10000.226,7364.866,177973.3,25980.39,20436.27,166630.3,862.7763,523.827,215883.89,1
49,578.8391,6412.269,5817.3335,144476.66,19798.596,19782.836,131176.42,289.59222,321.2995,118137.23,1
50,581.7481,5140.892,5725.9307,117679.914,12294.72,13596.116000000002,118526.016,314.93124,228.49884,180651.55,0
51,589.49054,18301.62,13480.926000000001,177942.52,24382.882999999998,19610.936,162965.88,217.63261,380.2956,75008.87,0
52,603.29755,12750.165,10369.768,161159.8,11892.511,9441.005,165106.9,808.0378400000003,918.8019400000001,115270.914,0
53,607.4780000000002,6596.368,6006.2266,143950.47,27128.342,18544.816000000006,191739.08,215.74933,342.65698,82527.71,0
54,609.6108,10992.101,7647.9580000000005,188384.48,11374.069,10669.053,139733.31,227.8063,612.6715,48735.785,0
55,613.2888,10181.261999999999,7881.8936,169309.36,22995.785,22799.951,132197.81,185.14218,635.6188,38178.477,1
56,619.3136599999998,7632.7563,6507.0884,153746.28,9313.105,8310.006,146893.69,77.05596,476.16983,21210.666,0
57,622.4693599999998,7346.132,5991.081,160717.61,21779.342,19197.428,148700.23,76.39998,346.034,28939.058999999997,1
58,640.01074,7115.6759999999995,5654.28,164948.66,17048.697,15705.68,142280.17,507.8612,537.00226,123959.23,1
59,643.7704,10499.409,9214.821,149344.03,16378.253,15290.068000000001,140400.31,496.75537,500.88205,129992.12,0
60,687.58746,7453.7869999999975,7208.2046,135537.61,6626.6343,5912.03,146915.06,172.39822,465.2497,48568.715,0
61,700.3064,6492.0366,5634.9062,151009.47,31941.154,30856.43,135679.69,710.933,740.6905,125806.13,0
62,702.01666,7848.698,5850.844,175828.4,23665.428,22573.129,137414.48,469.0073,325.24838,189005.47,1
63,704.3217,6667.5869999999995,5885.7812,148482.23,38141.906,32490.428,153871.05,217.54716000000002,343.68585,82966.3,0
64,715.09106,6551.7959999999985,5881.9185,145999.47,30909.12,31340.142999999996,129269.36,363.67166000000003,490.0085,97278.25,0
65,727.37103,11072.622,9397.808,154430.78,14251.803,13212.827,141378.7,924.38824,785.1154,154323.06,0
66,729.6417,5086.065,5710.1,116747.64,19116.273,21009.07,119263.164,17.726217000000005,406.0243,5722.344,0
67,755.45685,8453.001,8000.279,138489.14,46064.437999999995,43259.395,139571.02,-78.27434000000002,358.47997999999984,-28619.65600000001,0
68,759.6807,10752.881000000001,8125.9814,173443.86,15141.588,15545.258999999998,127668.39,98.40522,265.60382000000004,48561.684,0
69,774.3239,7940.432,7938.9697,131096.14,7051.446,5802.4253,159286.34,235.03484,434.15033,70958.11,0
70,777.7662,7459.8696,7112.8203,137467.28,9415.021999999999,9538.975,129368.81,518.7979,702.0909,96853.39,0
71,777.9874,10588.433,9897.157,140226.83,19877.79,18725.045,139141.0,235.04407999999998,521.731,59049.008,1
72,780.26715,11507.236,8274.028,182290.47,35862.24,34729.594,135346.69,330.26178,363.45578,119101.34,0
73,796.8164,6909.993,5490.0337,164972.88,21616.615,15746.976,179928.7,314.3978600000001,537.00165,76738.6,1
74,810.8303,8724.409,6492.641,176126.44,17321.107,16746.479,135569.53,457.42584000000005,329.74282999999997,181825.7,1
75,831.0558,7241.374,5390.1055,176089.58,2598.4832,2745.9258,124034.086,315.3199,363.80737,113603.0,0
76,836.1086,11972.079,9970.803,157379.94,29377.457000000002,31378.201,122714.555,948.7307,748.67944,166095.16,1
77,843.5045,9941.154,6490.4519999999975,200757.5,15678.806,14012.115,146662.55,44.50137700000001,331.0782200000001,17617.843999999994,0
78,886.2207,5809.732,6089.738,125045.31,34141.38,33766.047,132528.95,426.5907,337.14355,165846.55,0
79,901.0852,10244.418,8613.421,155891.19,14504.902,14638.901000000002,129872.22,489.73287999999997,582.6354,110172.28,0
80,905.09326,13757.823,11592.952,155548.42,85834.3,86885.87,129485.65,144.34473,289.569,65336.937999999995,0
81,907.0992,5982.2915,5870.3438,133571.55,22223.377,22302.326,130608.01,486.1112,532.5663,119638.76,0
82,907.13544,4957.0459999999985,5542.33,117230.46,18618.861,20142.375,121158.08,535.10876,769.8035,91111.266,0
83,911.1417,11488.896,8772.559000000001,171657.17,25229.783,23836.62,138732.69,583.4414,664.8372,115024.9,1
84,931.7209,15339.168,12975.229,154951.83,30722.07,31119.736,129397.086,260.72186,563.80804,60611.65,0
85,970.31836,7830.547,5943.945,172674.12,8361.911,8392.811,130589.44,804.8584599999997,822.6929299999997,128230.6,0
86,1039.3884,6377.2803,6144.5024,136037.52,31077.007999999998,27487.482000000004,148188.39,-181.28058000000001,402.78055,-58991.945,0
87,1042.9667,7979.448,5645.3887,185263.11,17304.734,19346.46,117239.33,177.39955,542.7544,42840.95,1
88,1064.3292,6459.126,5864.2159999999985,144368.92,22830.09,23162.166,129192.82,174.7359,176.20946999999995,129975.9,1
89,1089.1632,8597.103000000001,7372.2104,152849.6,25084.963,26366.805,124699.836,67.6949,243.62,36421.09,1
90,1105.2156,12546.931999999999,8468.654,194192.77,40166.27,38648.902,136217.92,147.00966,574.5403,33537.855,0
